,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,strategy
426,20,p289,14.017999999999999,4.0958,14.8706,31.8362,1.480138010457133,2.287890547377012,97.0,64.0,1,1
427,20,p290,11.1134,3.4121,4.4705,32.2579,1.4314423390412903,1.7141590362954073,107.0,64.0,1,1
428,20,p291,10.5043,3.1432,4.5424,27.5794,1.2771802143785347,1.7003577308860984,101.0,64.0,1,1
429,20,p292,10.4734,4.1776,4.3495,27.8949,1.3642009419436714,1.6478448474475291,101.0,64.0,1,1
430,20,p296,10.9973,3.8561,8.8026,31.969,1.389338148184235,1.8189696276140244,105.0,67.0,1,1
431,20,p298,12.16,4.6083,10.7189,31.8656,1.4608180311044905,1.7652130564965585,107.0,67.0,1,1
432,20,p299,12.8159,3.9082,11.3342,32.0368,1.4148622724491597,1.8899489423988847,106.0,67.0,1,1
433,20,p300,13.0927,4.6429,11.3935,31.631999999999998,1.3243984483530626,1.7285850797755529,107.0,67.0,1,1
434,20,p301,13.533,3.6196,12.0712,31.7844,1.36229829699666,1.7843485272601698,107.0,67.0,1,1
435,20,p302,14.4145,3.6668,13.8308,32.2527,1.895147751495909,2.068174675040065,105.0,67.0,1,1
436,20,p303,11.8993,2.7942,7.545,31.3829,1.6223848156340712,2.115751664542873,101.0,67.0,1,1
437,20,p307,10.9259,3.5249,10.1403,32.0366,1.2032589912400404,1.5446566163217588,114.0,71.0,1,1
438,20,p308,11.3987,3.4939,10.5702,31.9915,1.2203956407657313,1.5362356820281615,114.0,71.0,1,1
439,20,p309,11.8168,3.4816,11.0441,32.0742,1.2942499488120522,1.530999646656115,114.0,71.0,1,1
440,20,p310,12.332,3.6023,11.6633,32.0081,1.3261384920135604,1.600214386760281,114.0,71.0,1,1
441,21,v5,40.9414,10.4447,5.3755,16.7772,0.951,2.1004711055395853,125.0,81.0,2,1
442,21,p293,31.3281,13.2461,22.9013,32.0246,1.3506388895630097,1.689528748525333,110.0,81.0,1,1
443,21,p294,32.0747,13.4017,23.5716,31.7758,1.3936764079225852,1.588210869097729,110.0,81.0,1,1
444,21,p295,32.6819,13.8075,24.1614,32.0468,1.3600263306274625,1.5780518738902471,110.0,81.0,1,1
445,21,p304,30.5516,14.1991,25.4894,31.8909,1.68698167447071,2.014345651432255,102.0,81.0,1,1
446,21,p305,33.2521,10.4229,22.7012,31.6594,1.5078567106989975,1.7491705135503477,115.0,81.0,1,1
447,21,p311,30.3542,11.1834,19.8955,32.1297,1.4968102251120547,1.8891713189292305,111.0,81.0,1,1
448,21,p312,30.7835,11.6521,20.9518,31.9517,1.5518239623101584,1.906905725306891,110.0,81.0,1,1
449,21,p313,33.0318,9.44,23.4914,31.6474,1.3265430298335594,1.6867772188414463,115.0,81.0,1,1
450,21,p314,33.4202,9.6494,24.1532,32.0677,1.2062833249282692,1.6938701045316265,115.0,81.0,1,1
451,21,p315,35.1903,10.4096,31.8463,31.5296,1.4202546954683868,1.6919427159515013,110.0,81.0,1,1
452,21,p316,34.9305,12.2259,25.6132,32.2392,1.394096413452097,1.6835205873290122,112.0,81.0,1,1
453,21,p317,35.3414,12.4334,26.1139,32.2181,1.3897260053694038,1.682725674351841,112.0,81.0,1,1
454,21,p318,30.1041,10.1143,20.5687,32.2741,1.658226504431768,1.8474601089866034,112.0,81.0,1,1
455,21,p328,32.4517,8.2611,19.0099,32.2105,1.4855704796474651,1.8801639380649782,115.0,81.0,1,1
456,21,p329,31.9177,7.8813,18.6617,31.7805,1.3785924706018093,1.870671834479196,115.0,81.0,1,1
457,21,p330,30.3219,8.6578,20.1653,32.0497,1.6648825123713684,1.8571413272190609,113.0,81.0,1,1
458,21,p331,34.2871,8.5853,29.451999999999998,31.5998,1.7479927059344385,2.003131983696524,109.0,81.0,1,1
459,21,p332,34.9461,8.6984,30.3208,31.8322,1.6946292131318874,1.9840251338331196,109.0,81.0,1,1
460,21,p333,36.1226,8.9892,30.5592,31.615,1.4237861812786357,1.6930688048156357,113.0,81.0,1,1
461,21,p342,35.6601,7.4697,27.8952,32.0198,1.6420973174571596,1.8783066735133365,112.0,81.0,1,1
462,21,p343,35.8785,5.9296,32.8005,31.8732,1.5690483294022528,1.9457771617749617,112.0,81.0,1,1
463,21,p344,37.8697,4.4848,25.846999999999998,32.1296,1.224671792767352,2.109141153101241,127.0,81.0,1,1
464,21,p345,38.3417,4.6051,26.7611,31.7387,1.2903392305901575,2.0478867668343783,127.0,81.0,1,1
465,21,p348,35.8228,3.4948,24.2391,30.9879,1.4908105479905889,1.9156138174900028,129.0,81.0,1,1
466,21,p349,36.6224,3.1015,24.9825,29.0232,1.5384772211508364,1.8165771610855586,129.0,81.0,1,1
467,21,p350,37.0975,3.4809,25.7356,29.4911,1.5596485020670523,1.8383088184202698,129.0,81.0,1,1
468,21,p351,40.1594,3.492,21.7716,26.0796,1.1662085276656142,1.7339809634071832,129.0,81.0,1,1
469,21,p358,34.1162,3.7430000000000003,20.0184,31.6886,1.7055178216600377,1.9535233273783283,123.0,84.0,1,1
470,21,p359,34.5585,4.1544,20.5286,32.1659,1.7630624180669272,2.0450570782610598,123.0,84.0,1,1
